name,type,description,link,contact_email,status,discovered_date,drafted_date,notes
"Dad Devotionals: Advice for Christian Fathers, Husbands and Men of Faith",podcast,Hosted by David Domzalski — Christianity,https://podcasts.apple.com/us/podcast/dad-devotionals-advice-for-christian-fathers-husbands/id1504936577?uo=4,,ready,2026-09-25,,No public email found. Last episode Jan 2023 — likely inactive. Low priority.
Daily Devotional Ceremony,podcast,Hosted by Man of God Jonathan Efrem — Christianity,https://podcasts.apple.com/us/podcast/daily-devotional-ceremony/id1501233309?uo=4,,ready,2026-09-25,,
CadreMen Press Devotionals,podcast,Hosted by CadreMen Press Devotionals — Christianity,https://podcasts.apple.com/us/podcast/cadremen-press-devotionals/id431778120?uo=4,,ready,2026-09-25,,
Daily Bible Reading Podcast,podcast,Hosted by Phil Fields — Christianity,https://podcasts.apple.com/us/podcast/daily-bible-reading-podcast/id755647888?uo=4,,ready,2026-09-25,,
The Daily Bible Reading Podcast,podcast,Hosted by Cokesbury TV — Christianity,https://podcasts.apple.com/us/podcast/the-daily-bible-reading-podcast/id1637896890?uo=4,,ready,2026-09-25,,
BREAD - Daily Bible Reading,podcast,Hosted by BREAD Chart Podcast — Christianity,https://podcasts.apple.com/us/podcast/bread-daily-bible-reading/id1723405668?uo=4,,ready,2026-09-25,,
Scripture for Life: Daily Bible Reading,podcast,Hosted by RachelG — Christianity,https://podcasts.apple.com/us/podcast/scripture-for-life-daily-bible-reading/id1727988980?uo=4,,ready,2026-09-25,,
Daily GNT Bible Reading Podcast,podcast,Hosted by Phil Fields — Christianity,https://podcasts.apple.com/us/podcast/daily-gnt-bible-reading-podcast/id1434108880?uo=4,,ready,2026-09-25,,
Bible Podcast (ESV) Listen to the Bible Daily Reading,podcast,Hosted by Bible Reading Daily Podcast — Christianity,https://podcasts.apple.com/us/podcast/bible-podcast-esv-listen-to-the-bible-daily-reading/id1511456217?uo=4,,ready,2026-09-25,,
She Read it Herself : for the girl who sucks at reading her Bible : daily Christian women podcast,podcast,Hosted by Natasha Elisa — Christianity,https://podcasts.apple.com/us/podcast/she-read-it-herself-for-the-girl-who-sucks-at-reading/id1729658344?uo=4,,ready,2026-09-25,,
Wisdom Daily Meditation | Clear Bible Reading for Wisdom & Discernment,podcast,Hosted by Scripture readings with Tiffany M Ruffner — Religion & Spirituality,https://podcasts.apple.com/us/podcast/wisdom-daily-meditation-clear-bible-reading-for-wisdom/id1729017606?uo=4,,ready,2026-09-25,,
The Bible Breakdown: Daily Bible Reading,podcast,Hosted by Brandon Cannon — Christianity,https://podcasts.apple.com/us/podcast/the-bible-breakdown-daily-bible-reading/id1680325750?uo=4,,ready,2026-09-25,,
Immerse: Bible Reading Experience - NLT Daily Bible In A Year,podcast,Hosted by Tyndale House Publishers | Lumivoz — Christianity,https://podcasts.apple.com/us/podcast/immerse-bible-reading-experience-nlt-daily-bible-in-a-year/id1721734139?uo=4,katiedodillet@tyndale.com,ready,2026-09-25,,"Tyndale House Publishers press contact (Katie Dodillet) — general publisher contact, confirmed current across multiple 2023-2025 releases."
Daily Bible Reading,podcast,Hosted by Logan Mauldin — Christianity,https://podcasts.apple.com/us/podcast/daily-bible-reading/id1546625938?uo=4,,ready,2026-09-25,,
The On Ramp: Daily Bible Reading,podcast,Hosted by Hope Nation — Christianity,https://podcasts.apple.com/us/podcast/the-on-ramp-daily-bible-reading/id1665501450?uo=4,,ready,2026-09-25,,
Daily Bible Reading (ESV),podcast,Hosted by Tally Preacher — Christianity,https://podcasts.apple.com/us/podcast/daily-bible-reading-esv/id1838290203?uo=4,,ready,2026-09-25,,
KJV Daily Bible Reading - Old Testament,podcast,Hosted by Michael Wilkinson — Christianity,https://podcasts.apple.com/us/podcast/kjv-daily-bible-reading-old-testament/id1662257807?uo=4,,ready,2026-09-25,,
KJV Daily Bible Reading - New Testament,podcast,Hosted by Michael Wilkinson — Christianity,https://podcasts.apple.com/us/podcast/kjv-daily-bible-reading-new-testament/id1662257595?uo=4,,ready,2026-09-25,,
The Reforming Fatherhood Podcast,podcast,Hosted by Chris Cirullo — Christianity,https://podcasts.apple.com/us/podcast/the-reforming-fatherhood-podcast/id1896783339?uo=4,,ready,2026-09-25,,
The Biblical Fatherhood Podcast,podcast,"Hosted by Dr. Michael Napier ""REV"" — Christianity",https://podcasts.apple.com/us/podcast/the-biblical-fatherhood-podcast/id1894962346?uo=4,,ready,2026-09-25,,
Fatherhood Arise Podcast,podcast,Hosted by fatherhoodarise — Christianity,https://podcasts.apple.com/us/podcast/fatherhood-arise-podcast/id1516140156?uo=4,,ready,2026-09-25,,
Intentional Fatherhood,podcast,"Hosted by Brook Mosser, Justin Whitmel Earley — Christianity",https://podcasts.apple.com/us/podcast/intentional-fatherhood/id1818945136?uo=4,,ready,2026-09-25,,
Fireside Fatherhood,podcast,"Hosted by Max Gangestad, Matt Snyder, and Carson Gardner — Christianity",https://podcasts.apple.com/us/podcast/fireside-fatherhood/id1846240267?uo=4,,ready,2026-09-25,,
Fatherhood Foundation,podcast,Hosted by PowerHouse Church — Christianity,https://podcasts.apple.com/us/podcast/fatherhood-foundation/id1550628303?uo=4,,ready,2026-09-25,,
Fatherhood Friday's,podcast,Hosted by Chalmer Williams — Christianity,https://podcasts.apple.com/us/podcast/fatherhood-fridays/id1471536000?uo=4,,ready,2026-09-25,,
"Manhood Unveiled: Navigating Fatherhood, Marriage, and Faith",podcast,Hosted by Zeth Lee — Christianity,https://podcasts.apple.com/us/podcast/manhood-unveiled-navigating-fatherhood-marriage-and/id1733380385?uo=4,,ready,2026-09-25,,
Forging Fatherhood,podcast,Hosted by Charles Patterson & Chase Brant — Christianity,https://podcasts.apple.com/us/podcast/forging-fatherhood/id1761909831?uo=4,,ready,2026-09-25,,
"Faith, Fatherhood and Figuring it Out",podcast,Hosted by Bruce Malmstrom — Christianity,https://podcasts.apple.com/us/podcast/faith-fatherhood-and-figuring-it-out/id1616779544?uo=4,,ready,2026-09-25,,
The Realities of Fatherhood,podcast,Hosted by Elijah Atilano — Christianity,https://podcasts.apple.com/us/podcast/the-realities-of-fatherhood/id1603867490?uo=4,,ready,2026-09-25,,
Facts And Fatherhood With Pastor Demetrius Wilson,podcast,Hosted by Kingdom Purpose Media — Christianity,https://podcasts.apple.com/us/podcast/facts-and-fatherhood-with-pastor-demetrius-wilson/id1867907462?uo=4,,ready,2026-09-25,,
Fruits of Fatherhood,podcast,Hosted by Trevor McClure — Christianity,https://podcasts.apple.com/us/podcast/fruits-of-fatherhood/id1519811184?uo=4,,ready,2026-09-25,,
Fatherhood & Sonship,podcast,Hosted by Aron Africa — Christianity,https://podcasts.apple.com/us/podcast/fatherhood-sonship/id1570873762?uo=4,,ready,2026-09-25,,
Ground Breakers Men's Discipleship,podcast,Hosted by Discipleship | Raw | Real | Unscripted | Unfiltered — Christianity,https://podcasts.apple.com/us/podcast/ground-breakers-mens-discipleship/id1896818232?uo=4,,ready,2026-09-25,,
Valor Men's Ministry Podcast,podcast,Hosted by A.J. Reilly and Jared Barringer — Christianity,https://podcasts.apple.com/us/podcast/valor-mens-ministry-podcast/id1733099596?uo=4,,ready,2026-09-25,,
The Path - FBCH Mens Podcast,podcast,Hosted by FBCH Men's Ministry — Christianity,https://podcasts.apple.com/us/podcast/the-path-fbch-mens-podcast/id1805803256?uo=4,,ready,2026-09-25,,
Versus Men's Podcast,podcast,Hosted by Versus Men's Ministry — Christianity,https://podcasts.apple.com/us/podcast/versus-mens-podcast/id1733492048?uo=4,,ready,2026-09-25,,
Men's Ministry | Southeast Christian Church,podcast,Hosted by SECC | MC - SMMBS — Christianity,https://podcasts.apple.com/us/podcast/mens-ministry-southeast-christian-church/id1504119165?uo=4,,ready,2026-09-25,,
Wingman Nation Men's Moment,podcast,Hosted by Wingman Nation Men's Ministry — Christianity,https://podcasts.apple.com/us/podcast/wingman-nation-mens-moment/id1536342651?uo=4,,ready,2026-09-25,,
"Men's Ministry Roundtable (Christian Assembly Church in Los Angeles, CA)",podcast,Hosted by Marvin Enriquez — Christianity,https://podcasts.apple.com/us/podcast/mens-ministry-roundtable-christian-assembly-church/id1468304218?uo=4,,ready,2026-09-25,,
Horizon Men's Ministry,podcast,Hosted by Horizon Church — Christianity,https://podcasts.apple.com/us/podcast/horizon-mens-ministry/id1766583213?uo=4,,ready,2026-09-25,,
Calvary Chapel Gateway | Men's Ministry,podcast,Hosted by Pastor Tony Montemurro — Christianity,https://podcasts.apple.com/us/podcast/calvary-chapel-gateway-mens-ministry/id1660166086?uo=4,,ready,2026-09-25,,
Lincoln Avenue Men's Ministry,podcast,Hosted by Lincoln Avenue Baptist Church — Christianity,https://podcasts.apple.com/us/podcast/lincoln-avenue-mens-ministry/id1793804330?uo=4,,ready,2026-09-25,,
Grace Bible Church - FIRST WATCH Men's Ministry,podcast,Hosted by Grace Bible Church of Bakersfield — Christianity,https://podcasts.apple.com/us/podcast/grace-bible-church-first-watch-mens-ministry/id1708125416?uo=4,,ready,2026-09-25,,
High Ground Men's Ministry,podcast,Hosted by High Ground Men's Ministry — Christianity,https://podcasts.apple.com/us/podcast/high-ground-mens-ministry/id1586019476?uo=4,,ready,2026-09-25,,
Act Like Men,podcast,Hosted by Men's Ministry Catalyst — Christianity,https://podcasts.apple.com/us/podcast/act-like-men/id6781041380?uo=4,,ready,2026-09-25,,
Act Like Men,podcast,Hosted by Men's Ministry Catalyst — Christianity,https://podcasts.apple.com/us/podcast/act-like-men/id1880163897?uo=4,,ready,2026-09-25,,
Forged for a Purpose,podcast,Hosted by The Foundry Men's Ministry — Christianity,https://podcasts.apple.com/us/podcast/forged-for-a-purpose/id1831599058?uo=4,,ready,2026-09-25,,
Skyline Church Men's Ministry,podcast,Hosted by Skyline Church Men's Ministry — Christianity,https://podcasts.apple.com/us/podcast/skyline-church-mens-ministry/id1611087948?uo=4,,ready,2026-09-25,,
Iron Sharpens Iron Men's Fellowship Bible Study Podcast,podcast,Hosted by Iron Sharpen's Iron Men's Fellowship — Religion & Spirituality,https://podcasts.apple.com/us/podcast/iron-sharpens-iron-mens-fellowship-bible-study-podcast/id1680352917?uo=4,,ready,2026-09-25,,
LARRY AND LAURA ENGLAND ASKED GOD A QUESTION: IS IT POSSIBLE FOR US TO HAVE A BIBLE STUDY USING NOTHING BUT THE SCRIPTURES OF,podcast,"Hosted by MEN AS TREES CD MINISTRIES.ORG--""CHRISTIAN DEVELOPMENT"" — Christianity",https://podcasts.apple.com/us/podcast/larry-and-laura-england-asked-god-a-question-is/id1464598246?uo=4,,ready,2026-09-25,,
Men's Overnight Bible Study,podcast,Hosted by Men's Overnight Bible Study — Christianity,https://podcasts.apple.com/us/podcast/mens-overnight-bible-study/id1645467784?uo=4,,ready,2026-09-25,,
Men's Bible Study,podcast,Hosted by Pastor John Mark Caton — Religion & Spirituality,https://podcasts.apple.com/us/podcast/mens-bible-study/id1239564259?uo=4,,ready,2026-09-25,,
Men's Bible Study at Compass Bible Church,podcast,Hosted by Compass Bible Church — Christianity,https://podcasts.apple.com/us/podcast/mens-bible-study-at-compass-bible-church/id328593027?uo=4,,ready,2026-09-25,,
Council of Catholic Men: Catechism and Bible Study of the Catholic Church,podcast,Hosted by Council of Catholic Men — Christianity,https://podcasts.apple.com/us/podcast/council-of-catholic-men-catechism-and-bible/id1896641707?uo=4,,ready,2026-09-25,,
Men's Morning Bible Study,podcast,Hosted by Stonegate Fellowship — Christianity,https://podcasts.apple.com/us/podcast/mens-morning-bible-study/id1169163043?uo=4,,ready,2026-09-25,,
Men of Valor Bible Study,podcast,Hosted by Great Rock Church — Christianity,https://podcasts.apple.com/us/podcast/men-of-valor-bible-study/id1595839251?uo=4,,ready,2026-09-25,,
Key Life Fellowship - Men's Bible Study,podcast,Hosted by Key Life Fellowship — Christianity,https://podcasts.apple.com/us/podcast/key-life-fellowship-mens-bible-study/id1518953540?uo=4,,ready,2026-09-25,,
Men's Bible Study (Central Baptist Round Rock),podcast,Hosted by Central Baptist Church Round Rock — Christianity,https://podcasts.apple.com/us/podcast/mens-bible-study-central-baptist-round-rock/id1767832499?uo=4,,ready,2026-09-25,,
BCF Men's Bible Study,podcast,Hosted by Bandon Christian Fellowship — Christianity,https://podcasts.apple.com/us/podcast/bcf-mens-bible-study/id6804014106?uo=4,,ready,2026-09-25,,
Park Cities Presbyterian Church Men's Bible Study,podcast,Hosted by Park Cities Presbyterian Church (PCA) — Christianity,https://podcasts.apple.com/us/podcast/park-cities-presbyterian-church-men-s-bible-study/id1438152790?uo=4,,ready,2026-09-25,,
Men's Bible Study - RLC,podcast,Hosted by Paul March — Christianity,https://podcasts.apple.com/us/podcast/mens-bible-study-rlc/id1674348783?uo=4,,ready,2026-09-25,,
Basecamp Bible Study,podcast,Hosted by Men's Ministry — Arts,https://podcasts.apple.com/us/podcast/basecamp-bible-study/id1600519517?uo=4,,ready,2026-09-25,,
The Daily Hammer Bible Reading,podcast,Hosted by Man in the World — Christianity,https://podcasts.apple.com/us/podcast/the-daily-hammer-bible-reading/id1790388030?uo=4,,ready,2026-09-25,,
Let's Read the Gospels with Annie F. Downs,podcast,Hosted by That Sounds Fun Network — Religion & Spirituality,https://podcasts.apple.com/us/podcast/lets-read-the-gospels-with-annie-f-downs/id1655219933?uo=4,,ready,2026-09-25,,
BAC Bible Reading Plan Podcast,podcast,"Hosted by Bedford Alliance Church, Temperance, MI — Christianity",https://podcasts.apple.com/us/podcast/bac-bible-reading-plan-podcast/id1602692586?uo=4,,ready,2026-09-25,,
Chapter-A-Day Audio Bible,podcast,"Hosted by John Stange, Pastor and Audio Bible Reading Plan — Christianity",https://podcasts.apple.com/us/podcast/chapter-a-day-audio-bible/id1070975577?uo=4,,ready,2026-09-25,,
Unfading Truth Bible Reading Plan,podcast,Hosted by Chad Werkhoven — Christianity,https://podcasts.apple.com/us/podcast/unfading-truth-bible-reading-plan/id1653466545?uo=4,,ready,2026-09-25,,
Not Alone Today Podcast (Chronological Bible Reading Plan),podcast,Hosted by Joseph and Anu Ola — Christianity,https://podcasts.apple.com/us/podcast/not-alone-today-podcast-chronological-bible-reading-plan/id1537774506?uo=4,,ready,2026-09-25,,
Uncommen: Man to Man,podcast,Hosted by Uncommen: Man to Man — Religion,https://podcasts.apple.com/us/podcast/uncommen-man-to-man/id1579094638?uo=4,,ready,2026-09-25,,
Bible Answer Man Podcast with Hank Hanegraaff,podcast,Hosted by The Christian Research Institute — Christianity,https://podcasts.apple.com/us/podcast/bible-answer-man-podcast-with-hank-hanegraaff/id569236334?uo=4,,ready,2026-09-25,,"No direct press email found for Christian Research Institute (org based in Charlotte, NC, equip.org). Established org — worth a direct look at equip.org/contact if pursuing."
CNN 5 Things,podcast,Hosted by CNN Podcasts — Daily News,https://podcasts.apple.com/us/podcast/cnn-5-things/id1436719991?uo=4,,ready,2026-09-25,,"Not a fit — general news podcast, unrelated to Selah."
fblosgatos - 2025: Daily Devotional Thought and Bible Reading,podcast,Hosted by Dr. Roger McCarty — Religion & Spirituality,https://podcasts.apple.com/us/podcast/fblosgatos-2025-daily-devotional-thought-and-bible/id1790459948?uo=4,,ready,2026-09-25,,
HPUMC: Deuteronomy Bible Reading Plan,podcast,Hosted by Highland Park United Methodist Church — Christianity,https://podcasts.apple.com/us/podcast/hpumc-deuteronomy-bible-reading-plan/id1767256201?uo=4,,ready,2026-09-25,,
The Resolved to Read Podcast,podcast,Hosted by Jennifer Jolene Deal — Christianity,https://podcasts.apple.com/us/podcast/the-resolved-to-read-podcast/id1789361336?uo=4,,ready,2026-09-25,,
Dead Men Walking Podcast,podcast,Hosted by Greg Moore Jr — Christianity,https://podcasts.apple.com/us/podcast/dead-men-walking-podcast/id1507591113?uo=4,,ready,2026-09-25,,
The Journey of a Christian Dad Podcast,podcast,Hosted by Dan Luigs — Christianity,https://podcasts.apple.com/us/podcast/the-journey-of-a-christian-dad-podcast/id1546405330?uo=4,,ready,2026-09-25,,
Christian Dad's Podcast,podcast,Hosted by James Pellicane — Christianity,https://podcasts.apple.com/us/podcast/christian-dads-podcast/id295386637?uo=4,,ready,2026-09-25,,
The Strong Catholic Dad Podcast,podcast,Hosted by Strong Catholic Dad — Christianity,https://podcasts.apple.com/us/podcast/the-strong-catholic-dad-podcast/id1531389878?uo=4,,ready,2026-09-25,,
Holy Chaos on Tap A Catholic Dad Podcast,podcast,Hosted by Nick — Christianity,https://podcasts.apple.com/us/podcast/holy-chaos-on-tap-a-catholic-dad-podcast/id1847972284?uo=4,,ready,2026-09-25,,
Dear New Dad - Podcast,podcast,Hosted by Pastor Nate Holdridge & Pastor Matt Gersonde — Christianity,https://podcasts.apple.com/us/podcast/dear-new-dad-podcast/id992234437?uo=4,,ready,2026-09-25,,
The HeartWorking Dad Podcast for Christian Fathers,podcast,Hosted by Gabriel — Parenting,https://podcasts.apple.com/us/podcast/the-heartworking-dad-podcast-for-christian-fathers/id1641186505?uo=4,,ready,2026-09-25,,
Old Fashion Dad Podcast,podcast,Hosted by Christian Harris and Christian Bringolf — Parenting,https://podcasts.apple.com/us/podcast/old-fashion-dad-podcast/id1513254208?uo=4,,ready,2026-09-25,,
Preacher Dad Podcast,podcast,Hosted by Preacher Dad — Christianity,https://podcasts.apple.com/us/podcast/preacher-dad-podcast/id1583828182?uo=4,,ready,2026-09-25,,
Swiss Army Dad Podcast,podcast,Hosted by L.W. Willard — Christianity,https://podcasts.apple.com/us/podcast/swiss-army-dad-podcast/id1585002174?uo=4,,ready,2026-09-25,,
Praying Dad Podcast,podcast,Hosted by Aaron Hall — Christianity,https://podcasts.apple.com/us/podcast/praying-dad-podcast/id1558603069?uo=4,,ready,2026-09-25,,
The Lutheran Dad Podcast,podcast,Hosted by Matt Doebler — Christianity,https://podcasts.apple.com/us/podcast/the-lutheran-dad-podcast/id1499698754?uo=4,,ready,2026-09-25,,
Dad Jokes and Discernment: The Podcast,podcast,Hosted by Dad Jokes and Discernment — Christianity,https://podcasts.apple.com/us/podcast/dad-jokes-and-discernment-the-podcast/id1826613558?uo=4,,ready,2026-09-25,,
The DAD Base Podcast,podcast,Hosted by The DAD Base. — Christianity,https://podcasts.apple.com/us/podcast/the-dad-base-podcast/id1584323651?uo=4,,ready,2026-09-25,,
Christian Parenting Basics - Dad and Lad Podcast,podcast,Hosted by Scripture Union Canada — Christianity,https://podcasts.apple.com/us/podcast/christian-parenting-basics-dad-and-lad-podcast/id1680568403?uo=4,,ready,2026-09-25,,
Dad U Podcast,podcast,"Hosted by Watermark Community Church, Dallas, TX — Christianity",https://podcasts.apple.com/us/podcast/dad-u-podcast/id1687153692?uo=4,,ready,2026-09-25,,
FMP - Faith & Manhood Podcast,podcast,Hosted by Elliot Mitchell — Christianity,https://podcasts.apple.com/us/podcast/fmp-faith-manhood-podcast/id1665056472?uo=4,,ready,2026-09-25,,
Revival House Church: Men's Group,podcast,Hosted by Revival House Church Podcasts — Christianity,https://podcasts.apple.com/us/podcast/revival-house-church-mens-group/id1827367411?uo=4,,ready,2026-09-25,,
Yoked - Men's Life Group Podcast,podcast,Hosted by Southern Hills Church — Christianity,https://podcasts.apple.com/us/podcast/yoked-mens-life-group-podcast/id1483861914?uo=4,,ready,2026-09-25,,
Christian Men's Life Group,podcast,Hosted by KEN MCCONNELL — Christianity,https://podcasts.apple.com/us/podcast/christian-mens-life-group/id1768407951?uo=4,,ready,2026-09-25,,
New Life Ministries Men's Group,podcast,Hosted by Victor — Christianity,https://podcasts.apple.com/us/podcast/new-life-ministries-mens-group/id1885526752?uo=4,,ready,2026-09-25,,
The Godly Men Group Podcast,podcast,Hosted by TheGodlyMenGroup — Christianity,https://podcasts.apple.com/us/podcast/the-godly-men-group-podcast/id1513263750?uo=4,,ready,2026-09-25,,
Gravetop Men's Group,podcast,Hosted by Gravetop Church — Christianity,https://podcasts.apple.com/us/podcast/gravetop-mens-group/id1477267208?uo=4,,ready,2026-09-25,,
Redemption Shoals Men's Community Group-David Isbell,podcast,Hosted by Jim Shull — Christianity,https://podcasts.apple.com/us/podcast/redemption-shoals-mens-community-group-david-isbell/id1532788042?uo=4,,ready,2026-09-25,,
ONE|MAN Podcast,podcast,Hosted by ONE|MAN MEDIA GROUP — Christianity,https://podcasts.apple.com/us/podcast/one-man-podcast/id1732106285?uo=4,,ready,2026-09-25,,
Stand in the Gap: An Urgent Call For Biblical Manhood,podcast,Hosted by Stand in the Gap — Christianity,https://podcasts.apple.com/us/podcast/stand-in-the-gap-an-urgent-call-for-biblical-manhood/id1877807481?uo=4,,ready,2026-09-25,,
Rediscovering Biblical Manhood,podcast,Hosted by Hosted by: Jay Teresi & Chicka Elloy — Christianity,https://podcasts.apple.com/us/podcast/rediscovering-biblical-manhood/id1574103354?uo=4,,ready,2026-09-25,,
Walking in biblical manhood,podcast,"Hosted by 1 Corinthians 16:13,14 — Christianity",https://podcasts.apple.com/us/podcast/walking-in-biblical-manhood/id1731873561?uo=4,,ready,2026-09-25,,
Manly with Andy: Pursuing Biblical Manhood,podcast,Hosted by Andy Youso — Society & Culture,https://podcasts.apple.com/us/podcast/manly-with-andy-pursuing-biblical-manhood/id1663564898?uo=4,,ready,2026-09-25,,
A Young Man's Guide to the Universe | Biblical Manhood & Character,podcast,Hosted by BAttle Armor: Mentorship for Young Christian Men — Christianity,https://podcasts.apple.com/us/podcast/a-young-mans-guide-to-the-universe-biblical/id1726675852?uo=4,,ready,2026-09-25,,
Biblical Manhood and Womanhood,podcast,Hosted by Dr. Kevin Mobley — Christianity,https://podcasts.apple.com/us/podcast/biblical-manhood-and-womanhood/id1645337114?uo=4,,ready,2026-09-25,,
Recovering Biblical Manhood,podcast,Hosted by Paul Robbins and Aaron McBride — Christianity,https://podcasts.apple.com/us/podcast/recovering-biblical-manhood/id1709800004?uo=4,,ready,2026-09-25,,
The Building Blocks of Biblical Manhood,podcast,Hosted by Gene Johnson & Kevin Jean-Paul — Christianity,https://podcasts.apple.com/us/podcast/the-building-blocks-of-biblical-manhood/id1666666444?uo=4,,ready,2026-09-25,,
The Godly Manhood Podcast,podcast,Hosted by Emery Phipps — Christianity,https://podcasts.apple.com/us/podcast/the-godly-manhood-podcast/id1711122372?uo=4,,ready,2026-09-25,,
The Gritty Men Podcast,podcast,Hosted by Gritty Men — Christianity,https://podcasts.apple.com/us/podcast/the-gritty-men-podcast/id1658341862?uo=4,,ready,2026-09-25,,
Room for Nuance,podcast,Hosted by Room for Nuance Podcast — Christianity,https://podcasts.apple.com/us/podcast/room-for-nuance/id1694579242?uo=4,,ready,2026-09-25,,
C3 Leadership Podcast With Ed Young,podcast,Hosted by C3 Conference — Religion & Spirituality,https://podcasts.apple.com/us/podcast/c3-leadership-podcast-with-ed-young/id1837765586?uo=4,,ready,2026-09-25,,
MTNTOUGH Podcast w/ Dustin Diefenderfer,podcast,Hosted by Dustin Diefenderfer Founder and CEO of MTNTOUGH Fitness — Health & Fitness,https://podcasts.apple.com/us/podcast/mtntough-podcast-w-dustin-diefenderfer/id1674015509?uo=4,,ready,2026-09-25,,
